impressionTime,displayLocation,advertiserName,advertiserScreenName,osType,deviceId,deviceType,tweetId,tweetText,trendId,trendName,trendDescription
2019-08-09 19:37:32,ClusterFollow,Amazon Prime Video US,@PrimeVideo,Ios,33f6aeff65,iPhone,,,,,
2019-08-09 19:37:45,TimelineHome,Sandy Hook Promise,@sandyhook,Ios,33f6aeff65,iPhone,1159252232220631042,"The shooter who murdered my son, Dylan, brought 10 30-round magazines with him into Sandy Hook Elementary. In 4 minutes, he shot 154 bullets, killing 20 children and 6 educators. Sign our petition demanding Congress limit the size of gun magazines now. -Nicole",,,
2019-08-09 19:37:31,ProfileTweets,SuaveBeauty,@SuaveBeauty,Ios,33f6aeff65,iPhone,1158787688788443137,RT @OwnByFemme: Shea butter on my skin and my curls! Styled this easy updo with @SuaveBeauty!  #SuavePartner https://t.co/DmpwxFthT2,,,
2019-08-09 19:37:37,ProfileTweets,Vaseline,@VaselineBrand,Ios,33f6aeff65,iPhone,1158397518780293126,"If you could only live with one size of Vaseline forever, which do you choose?",,,
2019-08-09 21:30:15,TimelineHome,City Journal,@CityJournal,Ios,33f6aeff65,iPhone,1097583257644863491,Incisive commentary for the intellectually curious. Follow today. https://t.co/EwKycFP8Te,,,
2019-08-09 21:05:17,TimelineHome,SmartAsset,@smartasset,Ios,33f6aeff65,iPhone,1156987074228162560,"With over 110 million Americans over age 50, it's no wonder this Princeton grad's startup just raised another $28 million in funding to help people conquer #retirement.",,,
2019-08-09 21:52:04,SearchTweets,Apple News,@AppleNews,Ios,33f6aeff65,iPhone,1119276376186601472,"Reading your favorite magazines cover to cover is easy with News+. 🗞

Get your first month free.",,,
2019-08-09 21:06:05,TimelineHome,MTV,@MTV,Ios,33f6aeff65,iPhone,1159175696826028032,"RT @vmas: You’ll never find another like @taylorswift13….🦋

AND SHE’S PERFORMING LIVE AT THE #VMAs 💗 BE PART OF THE MOMENT. AUGUST 26 on @M…",,,
2019-08-09 21:05:17,TimelineHome,Vaseline,@VaselineBrand,Ios,33f6aeff65,iPhone,1158397736808603648,Everybody needs it and everybody loves it. Who would you get a jar for? #ListenToYourMoms https://t.co/Px2GO6DZAd,,,
2019-08-09 21:30:15,TimelineHome,Medtronic,@Medtronic,Ios,33f6aeff65,iPhone,1143579615216197632,"Smart medical devices continue to get smarter with increased memory, processing power, and battery life. Download the @techreview paper. https://t.co/SvdN8DYgDR https://t.co/Ss5Em14G02",,,
2019-08-09 21:30:15,TimelineHome,ComEd,@ComEd,Ios,33f6aeff65,iPhone,1156616513144512517,👀 Looking for an inside view of a #DayInTheLife of our crews? 👷 Follow us to see what it’s like working #BehindTheLight!,,,
2019-08-09 23:59:06,TimelineHome,Elizabeth Warren,@ewarren,Ios,33f6aeff65,iPhone,1148327119535181824,"Instead of spending her time at swanky fundraisers listening to the donors who write the biggest checks, Elizabeth is traveling all around the country to hear directly from people like you. Will you fill out this 2-minute survey and let Elizabeth know what issues matter to you?",,,
2019-08-10 00:48:28,SearchTweets,Best Buy,@BestBuy,Ios,33f6aeff65,iPhone,1158379013049593860,Nia Sioux gets her fitness on with the help of her laptop powered by an Intel Core processor. What’s your fave workout to stream?,,,
2019-08-10 00:19:12,TimelineHome,Chrysler,@Chrysler,Ios,33f6aeff65,iPhone,1142100657106837509,Big-time seating—it’s kind of a big deal.,,,
2019-08-10 00:19:25,TimelineHome,Talenti Gelato,@TalentiGelato,Ios,33f6aeff65,iPhone,1156863119689318401,Seven new flavors. All five layers. Click below to discover all 7 Talenti Gelato Layers flavors.,,,
2019-08-10 00:17:00,ProfileAccountsSidebar,Judicial Watch 🔎,@JudicialWatch,Ios,33f6aeff65,iPhone,,,,,
2019-08-10 00:10:09,TimelineHome,Senate Democrats,@dscc,Ios,33f6aeff65,iPhone,1104076902116085762,"Mitch McConnell said: ""One of my proudest moments was when I told Obama, 'You will not fill this Supreme Court vacancy.' "" We're conducting a survey to see how Democrats want to fight back, but we're missing your response. Do you approve of Mitch McConnell?",,,
