advertiserScreenName,impressionTime,type,value,tweetId,trendName
@PrimeVideo,2019-08-09 19:37:32,Locations,United States,,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@bradybuzz,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@shannonrwatts,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@davidhogg111,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@GiffordsCourage,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@sandyhook,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@JaclynCorin,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@AMarch4OurLives,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@GabbyGiffords,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@MomsDemand,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@cameron_kasky,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@Everytown,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Follower look-alikes,@Emma4Change,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Tailored audiences (lists),SHP - Donors - 040319,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Tailored audiences (lists),SHP - Full List - 040319,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Age,25 and up,1159252232220631042,
@sandyhook,2019-08-09 19:37:45,Locations,United States,1159252232220631042,
@SuaveBeauty,2019-08-09 19:37:31,Follower look-alikes,@IssaRae,1158787688788443137,
@SuaveBeauty,2019-08-09 19:37:31,Age,18 to 49,1158787688788443137,
@SuaveBeauty,2019-08-09 19:37:31,Locations,United States,1158787688788443137,
@SuaveBeauty,2019-08-09 19:37:31,Gender,Women,1158787688788443137,
@VaselineBrand,2019-08-09 19:37:37,Follower look-alikes,@IssaRae,1158397518780293126,
@VaselineBrand,2019-08-09 19:37:37,Conversation topics,Vaseline,1158397518780293126,
@VaselineBrand,2019-08-09 19:37:37,Age,25 to 54,1158397518780293126,
@VaselineBrand,2019-08-09 19:37:37,Locations,United States,1158397518780293126,
@VaselineBrand,2019-08-09 19:37:37,Gender,Women,1158397518780293126,
@CityJournal,2019-08-09 21:30:15,Follower look-alikes,@NRO,1097583257644863491,
@CityJournal,2019-08-09 21:30:15,Follower look-alikes,@charlescwcooke,1097583257644863491,
@CityJournal,2019-08-09 21:30:15,Follower look-alikes,@JonahDispatch,1097583257644863491,
@CityJournal,2019-08-09 21:30:15,Locations,United States,1097583257644863491,
@smartasset,2019-08-09 21:05:17,Follower look-alikes,@nytimes,1156987074228162560,
